recorded_time,delta_t,K,false_positive_ratio
2,0.05,1.0,27.337526205450736
2,0.05,1.5,11.320754716981133
2,0.05,2.0,2.180293501048218
2,0.05,2.5,0.0
2,0.05,3.0,0.0
2,0.25,1.0,20.754716981132077
2,0.25,1.5,8.050314465408805
2,0.25,2.0,1.509433962264151
2,0.25,2.5,0.0
2,0.25,3.0,0.0
2,0.5,1.0,15.681341719077569
2,0.5,1.5,4.947589098532495
2,0.5,2.0,0.9643605870020965
2,0.5,2.5,0.0
2,0.5,3.0,0.0
2,0.75,1.0,11.740041928721174
2,0.75,1.5,2.9350104821802936
2,0.75,2.0,0.5450733752620545
2,0.75,2.5,0.0
2,0.75,3.0,0.0
2,1.0,1.0,8.51153039832285
2,1.0,1.5,1.4675052410901468
2,1.0,2.0,0.12578616352201258
2,1.0,2.5,0.0
2,1.0,3.0,0.0
2,1.25,1.0,6.415094339622642
2,1.25,1.5,0.5450733752620545
2,1.25,2.0,0.0
2,1.25,2.5,0.0
2,1.25,3.0,0.0
2,1.5,1.0,5.2410901467505235
2,1.5,1.5,0.08385744234800838
2,1.5,2.0,0.0
2,1.5,2.5,0.0
2,1.5,3.0,0.0
2,1.75,1.0,4.40251572327044
2,1.75,1.5,0.0
2,1.75,2.0,0.0
2,1.75,2.5,0.0
2,1.75,3.0,0.0
2,2.0,1.0,3.605870020964361
2,2.0,1.5,0.0
2,2.0,2.0,0.0
2,2.0,2.5,0.0
2,2.0,3.0,0.0
