recorded_time,delta_t,K,false_positive_ratio
2 min,0.05,1,37.10691824
2 min,0.05,1.5,13.08176101
2 min,0.05,2,4.696016771
2 min,0.05,2.5,1.761006289
2 min,0.05,3,0.587002096
2 min,0.25,1,29.43396226
2 min,0.25,1.5,9.895178197
2 min,0.25,2,2.935010482
2 min,0.25,2.5,1.257861635
2 min,0.25,3,0.251572327
2 min,0.5,1,23.18658281
2 min,0.5,1.5,7.672955975
2 min,0.5,2,2.13836478
2 min,0.5,2.5,1.006289308
2 min,0.5,3,0.041928721
2 min,0.75,1,17.94549266
2 min,0.75,1.5,5.828092243
2 min,0.75,2,1.719077568
2 min,0.75,2.5,0.796645702
2 min,0.75,3,0
2 min,1,1,14.17190776
2 min,1,1.5,4.65408805
2 min,1,2,1.299790356
2 min,1,2.5,0.587002096
2 min,1,3,0
2 min,1.25,1,11.82389937
2 min,1.25,1.5,3.773584906
2 min,1.25,2,1.048218029
2 min,1.25,2.5,0.377358491
2 min,1.25,3,0
2 min,1.5,1,9.559748428
2 min,1.5,1.5,3.312368973
2 min,1.5,2,0.838574423
2 min,1.5,2.5,0.167714885
2 min,1.5,3,0
2 min,1.75,1,7.924528302
2 min,1.75,1.5,2.893081761
2 min,1.75,2,0.628930818
2 min,1.75,2.5,0
2 min,1.75,3,0
2 min,2,1,6.498951782
2 min,2,1.5,2.473794549
2 min,2,2,0.419287212
2 min,2,2.5,0
2 min,2,3,0
