recorded_time,delta_t,K,false_positive_ratio
3 min,0.05,1,25.07337526
3 min,0.05,1.5,8.134171908
3 min,0.05,2,2.557651992
3 min,0.05,2.5,0.628930818
3 min,0.05,3,0.125786164
3 min,0.25,1,19.28721174
3 min,0.25,1.5,4.947589099
3 min,0.25,2,1.886792453
3 min,0.25,2.5,0.293501048
3 min,0.25,3,0
3 min,0.5,1,15.09433962
3 min,0.5,1.5,3.354297694
3 min,0.5,2,1.467505241
3 min,0.5,2.5,0.041928721
3 min,0.5,3,0
3 min,0.75,1,11.86582809
3 min,0.75,1.5,2.473794549
3 min,0.75,2,1.048218029
3 min,0.75,2.5,0
3 min,0.75,3,0
3 min,1,1,9.727463312
3 min,1,1.5,1.844863732
3 min,1,2,0.628930818
3 min,1,2.5,0
3 min,1,3,0
3 min,1.25,1,8.008385744
3 min,1.25,1.5,1.215932914
3 min,1.25,2,0.377358491
3 min,1.25,2.5,0
3 min,1.25,3,0
3 min,1.5,1,6.666666667
3 min,1.5,1.5,0.838574423
3 min,1.5,2,0.167714885
3 min,1.5,2.5,0
3 min,1.5,3,0
3 min,1.75,1,5.450733753
3 min,1.75,1.5,0.628930818
3 min,1.75,2,0
3 min,1.75,2.5,0
3 min,1.75,3,0
3 min,2,1,4.402515723
3 min,2,1.5,0.419287212
3 min,2,2,0
3 min,2,2.5,0
3 min,2,3,0
