recorded_time,delta_t,K,false_positive_ratio
3 min,0.05,1,25.82809224
3 min,0.05,1.5,10.60796646
3 min,0.05,2,1.677148847
3 min,0.05,2.5,0
3 min,0.05,3,0
3 min,0.25,1,19.28721174
3 min,0.25,1.5,7.672955975
3 min,0.25,2,0.838574423
3 min,0.25,2.5,0
3 min,0.25,3,0
3 min,0.5,1,13.96226415
3 min,0.5,1.5,4.779874214
3 min,0.5,2,0.293501048
3 min,0.5,2.5,0
3 min,0.5,3,0
3 min,0.75,1,9.937106918
3 min,0.75,1.5,2.809224319
3 min,0.75,2,0.083857442
3 min,0.75,2.5,0
3 min,0.75,3,0
3 min,1,1,7.421383648
3 min,1,1.5,1.341719078
3 min,1,2,0
3 min,1,2.5,0
3 min,1,3,0
3 min,1.25,1,5.953878407
3 min,1.25,1.5,0.461215933
3 min,1.25,2,0
3 min,1.25,2.5,0
3 min,1.25,3,0
3 min,1.5,1,4.863731656
3 min,1.5,1.5,0.083857442
3 min,1.5,2,0
3 min,1.5,2.5,0
3 min,1.5,3,0
3 min,1.75,1,4.025157233
3 min,1.75,1.5,0
3 min,1.75,2,0
3 min,1.75,2.5,0
3 min,1.75,3,0
3 min,2,1,3.312368973
3 min,2,1.5,0
3 min,2,2,0
3 min,2,2.5,0
3 min,2,3,0
