recorded_time,delta_t,K,false_positive_ratio
4 min,0.05,1,30.35639413
4 min,0.05,1.5,10.81761006
4 min,0.05,2,3.354297694
4 min,0.05,2.5,1.42557652
4 min,0.05,3,0.125786164
4 min,0.25,1,23.01886792
4 min,0.25,1.5,7.211740042
4 min,0.25,2,2.348008386
4 min,0.25,2.5,0.838574423
4 min,0.25,3,0
4 min,0.5,1,18.15513627
4 min,0.5,1.5,5.36687631
4 min,0.5,2,1.80293501
4 min,0.5,2.5,0.377358491
4 min,0.5,3,0
4 min,0.75,1,14.67505241
4 min,0.75,1.5,4.025157233
4 min,0.75,2,1.383647799
4 min,0.75,2.5,0.041928721
4 min,0.75,3,0
4 min,1,1,11.86582809
4 min,1,1.5,3.270440252
4 min,1,2,0.964360587
4 min,1,2.5,0
4 min,1,3,0
4 min,1.25,1,9.475890985
4 min,1.25,1.5,2.641509434
4 min,1.25,2,0.71278826
4 min,1.25,2.5,0
4 min,1.25,3,0
4 min,1.5,1,7.589098532
4 min,1.5,1.5,2.096436059
4 min,1.5,2,0.503144654
4 min,1.5,2.5,0
4 min,1.5,3,0
4 min,1.75,1,6.07966457
4 min,1.75,1.5,1.886792453
4 min,1.75,2,0.293501048
4 min,1.75,2.5,0
4 min,1.75,3,0
4 min,2,1,4.821802935
4 min,2,1.5,1.677148847
4 min,2,2,0.083857442
4 min,2,2.5,0
4 min,2,3,0
