recorded_time,delta_t,K,false_positive_ratio
4 min,0.05,1,29.68553459
4 min,0.05,1.5,11.74004193
4 min,0.05,2,2.725366876
4 min,0.05,2.5,0
4 min,0.05,3,0
4 min,0.25,1,21.46750524
4 min,0.25,1.5,8.259958071
4 min,0.25,2,1.761006289
4 min,0.25,2.5,0
4 min,0.25,3,0
4 min,0.5,1,15.22012579
4 min,0.5,1.5,5.157232704
4 min,0.5,2,1.006289308
4 min,0.5,2.5,0
4 min,0.5,3,0
4 min,0.75,1,10.73375262
4 min,0.75,1.5,2.976939203
4 min,0.75,2,0.545073375
4 min,0.75,2.5,0
4 min,0.75,3,0
4 min,1,1,7.756813417
4 min,1,1.5,1.467505241
4 min,1,2,0.125786164
4 min,1,2.5,0
4 min,1,3,0
4 min,1.25,1,6.163522013
4 min,1.25,1.5,0.545073375
4 min,1.25,2,0
4 min,1.25,2.5,0
4 min,1.25,3,0
4 min,1.5,1,5.073375262
4 min,1.5,1.5,0.083857442
4 min,1.5,2,0
4 min,1.5,2.5,0
4 min,1.5,3,0
4 min,1.75,1,4.234800839
4 min,1.75,1.5,0
4 min,1.75,2,0
4 min,1.75,2.5,0
4 min,1.75,3,0
4 min,2,1,3.438155136
4 min,2,1.5,0
4 min,2,2,0
4 min,2,2.5,0
4 min,2,3,0
