recorded_time,delta_t,K,false_positive_ratio
4,0.05,1.0,21.341719077568133
4,0.05,1.5,7.337526205450734
4,0.05,2.0,1.509433962264151
4,0.05,2.5,0.0
4,0.05,3.0,0.0
4,0.25,1.0,16.0167714884696
4,0.25,1.5,4.821802935010482
4,0.25,2.0,0.8805031446540881
4,0.25,2.5,0.0
4,0.25,3.0,0.0
4,0.5,1.0,12.78825995807128
4,0.5,1.5,2.851153039832285
4,0.5,2.0,0.41928721174004197
4,0.5,2.5,0.0
4,0.5,3.0,0.0
4,0.75,1.0,10.90146750524109
4,0.75,1.5,1.4675052410901468
4,0.75,2.0,0.20964360587002098
4,0.75,2.5,0.0
4,0.75,3.0,0.0
4,1.0,1.0,9.056603773584905
4,1.0,1.5,0.9224318658280923
4,1.0,2.0,0.0
4,1.0,2.5,0.0
4,1.0,3.0,0.0
4,1.25,1.0,7.714884696016772
4,1.25,1.5,0.7127882599580713
4,1.25,2.0,0.0
4,1.25,2.5,0.0
4,1.25,3.0,0.0
4,1.5,1.0,6.498951781970649
4,1.5,1.5,0.5031446540880503
4,1.5,2.0,0.0
4,1.5,2.5,0.0
4,1.5,3.0,0.0
4,1.75,1.0,5.618448637316561
4,1.75,1.5,0.29350104821802936
4,1.75,2.0,0.0
4,1.75,2.5,0.0
4,1.75,3.0,0.0
4,2.0,1.0,4.821802935010482
4,2.0,1.5,0.08385744234800838
4,2.0,2.0,0.0
4,2.0,2.5,0.0
4,2.0,3.0,0.0
