recorded_time,delta_t,K,false_positive_ratio
3 min,0.05,1,26.66666667
3 min,0.05,1.5,8.511530398
3 min,0.05,2,2.431865828
3 min,0.05,2.5,0
3 min,0.05,3,0
3 min,0.25,1,20.37735849
3 min,0.25,1.5,6.163522013
3 min,0.25,2,1.341719078
3 min,0.25,2.5,0
3 min,0.25,3,0
3 min,0.5,1,15.93291405
3 min,0.5,1.5,4.150943396
3 min,0.5,2,0.670859539
3 min,0.5,2.5,0
3 min,0.5,3,0
3 min,0.75,1,13.03983229
3 min,0.75,1.5,2.893081761
3 min,0.75,2,0.251572327
3 min,0.75,2.5,0
3 min,0.75,3,0
3 min,1,1,10.48218029
3 min,1,1.5,1.970649895
3 min,1,2,0
3 min,1,2.5,0
3 min,1,3,0
3 min,1.25,1,8.721174004
3 min,1.25,1.5,1.341719078
3 min,1.25,2,0
3 min,1.25,2.5,0
3 min,1.25,3,0
3 min,1.5,1,7.085953878
3 min,1.5,1.5,0.71278826
3 min,1.5,2,0
3 min,1.5,2.5,0
3 min,1.5,3,0
3 min,1.75,1,5.786163522
3 min,1.75,1.5,0.293501048
3 min,1.75,2,0
3 min,1.75,2.5,0
3 min,1.75,3,0
3 min,2,1,4.737945493
3 min,2,1.5,0.083857442
3 min,2,2,0
3 min,2,2.5,0
3 min,2,3,0
