gap_value,recorded_time
15.632292975991342,3 min
15.632292975991342,3 min
15.632292975991342,3 min
15.632292975991342,3 min
15.603912554506072,3 min
15.603912554506072,3 min
15.603912554506072,3 min
15.603912554506072,3 min
15.603912554506072,3 min
15.45047907577969,3 min
15.45047907577969,3 min
15.45047907577969,3 min
15.45047907577969,3 min
15.45047907577969,3 min
15.565758219984572,3 min
15.565758219984572,3 min
15.565758219984572,3 min
15.96697456825508,3 min
15.948242882823,3 min
15.948242882823,3 min
15.948242882823,3 min
15.948242882823,3 min
15.979595086208478,3 min
15.979595086208478,3 min
15.979595086208478,3 min
15.861344160103387,3 min
15.861344160103387,3 min
15.861344160103387,3 min
16.094749053430313,3 min
16.094749053430313,3 min
16.33577221853364,3 min
16.33577221853364,3 min
16.43855602176817,3 min
16.43855602176817,3 min
16.43855602176817,3 min
16.430164036046612,3 min
16.430164036046612,3 min
16.430164036046612,3 min
15.980328476561036,3 min
15.980328476561036,3 min
15.980328476561036,3 min
15.416846054151337,3 min
15.416846054151337,3 min
15.748430687531823,3 min
15.600167058660702,3 min
15.772332222819166,3 min
15.772332222819166,3 min
15.772332222819166,3 min
15.720616052720846,3 min
15.720616052720846,3 min
15.720616052720846,3 min
15.720616052720846,3 min
15.720616052720846,3 min
15.720616052720846,3 min
15.720616052720846,3 min
15.720616052720846,3 min
15.720616052720846,3 min
15.8314163107278,3 min
15.8314163107278,3 min
16.0042724385436,3 min
16.0042724385436,3 min
16.0042724385436,3 min
15.740854842450643,3 min
15.740854842450643,3 min
15.740854842450643,3 min
15.740854842450643,3 min
15.740854842450643,3 min
15.759586527882728,3 min
15.759586527882728,3 min
15.6787989726418,3 min
15.818795792774404,3 min
15.818795792774404,3 min
15.818795792774404,3 min
15.827062601512921,3 min
15.827062601512921,3 min
15.827062601512921,3 min
15.685726280760868,3 min
15.685726280760868,3 min
15.862370331117255,3 min
15.862370331117255,3 min
15.862370331117255,3 min
15.862370331117255,3 min
15.862370331117255,3 min
15.862370331117255,3 min
15.862370331117255,3 min
15.862370331117255,3 min
15.862370331117255,3 min
15.862370331117255,3 min
15.53974347013262,3 min
15.53974347013262,3 min
15.53974347013262,3 min
15.83329894597465,3 min
15.83329894597465,3 min
15.83329894597465,3 min
16.009817819347994,3 min
16.009817819347994,3 min
16.009817819347994,3 min
15.603556798205268,3 min
15.603556798205268,3 min
15.603556798205268,3 min
15.698471975697306,3 min
15.732147424020882,3 min
15.732147424020882,3 min
15.732147424020882,3 min
15.732147424020882,3 min
15.732147424020882,3 min
15.732147424020882,3 min
15.732147424020882,3 min
15.732147424020882,3 min
15.732147424020882,3 min
15.732147424020882,3 min
15.732147424020882,3 min
15.765257085670166,3 min
15.765257085670166,3 min
15.765257085670166,3 min
15.488968617657722,3 min
15.488968617657722,3 min
15.488968617657722,3 min
15.488968617657722,3 min
15.488968617657722,3 min
15.628840260807284,3 min
15.628840260807284,3 min
15.628840260807284,3 min
15.682754498860655,3 min
15.682754498860655,3 min
15.894581101838334,3 min
15.813102582940072,3 min
15.813102582940072,3 min
15.870804743534034,3 min
15.870804743534034,3 min
15.664147990411616,3 min
15.664147990411616,3 min
15.664147990411616,3 min
15.500374811974714,3 min
15.500374811974714,3 min
15.691146484582214,3 min
15.691146484582214,3 min
15.691146484582214,3 min
15.691146484582214,3 min
15.691146484582214,3 min
15.691146484582214,3 min
15.507700303089806,3 min
15.507700303089806,3 min
15.422433861650955,3 min
15.422433861650955,3 min
15.422433861650955,3 min
15.364040737399655,3 min
15.724005792265409,3 min
15.724005792265409,3 min
15.821494568661635,3 min
15.821494568661635,3 min
15.821494568661635,3 min
15.821494568661635,3 min
15.821494568661635,3 min
15.821494568661635,3 min
16.247428592859865,3 min
16.247428592859865,3 min
16.20479537214044,3 min
16.20479537214044,3 min
16.20479537214044,3 min
16.055840779611984,3 min
16.055840779611984,3 min
16.15605098394233,3 min
16.15605098394233,3 min
16.15605098394233,3 min
16.098348823348367,3 min
16.098348823348367,3 min
16.098348823348367,3 min
16.76909393519052,3 min
16.76909393519052,3 min
16.76909393519052,3 min
17.013088882194054,3 min
17.013088882194054,3 min
17.013088882194054,3 min
16.98320135641107,3 min
16.98320135641107,3 min
16.738265091784108,3 min
16.738265091784108,3 min
16.738265091784108,3 min
17.120874931605577,3 min
17.120874931605577,3 min
17.120874931605577,3 min
17.79597375266261,3 min
17.79597375266261,3 min
18.02123701423407,3 min
18.02123701423407,3 min
18.02123701423407,3 min
18.02123701423407,3 min
18.02123701423407,3 min
17.742625301283535,3 min
17.742625301283535,3 min
17.742625301283535,3 min
17.82504513780522,3 min
17.82504513780522,3 min
18.307740004973994,3 min
18.307740004973994,3 min
18.307740004973994,3 min
18.307740004973994,3 min
18.15512266688799,3 min
18.093066797079146,3 min
18.333273821542097,3 min
18.30098030053319,3 min
18.30098030053319,3 min
18.30098030053319,3 min
18.30098030053319,3 min
18.30098030053319,3 min
18.30098030053319,3 min
18.30098030053319,3 min
18.30098030053319,3 min
18.30098030053319,3 min
18.484426482025604,3 min
18.484426482025604,3 min
18.484426482025604,3 min
18.51117462223011,3 min
19.6674612061582,3 min
19.78583730924634,3 min
19.78583730924634,3 min
19.78583730924634,3 min
19.618151031285798,3 min
19.618151031285798,3 min
19.618151031285798,3 min
19.521603572513,3 min
19.521603572513,3 min
19.45343653522547,3 min
19.45343653522547,3 min
19.45343653522547,3 min
19.094853407674385,3 min
19.094853407674385,3 min
19.094853407674385,3 min
19.304481942697016,3 min
19.304481942697016,3 min
19.304481942697016,3 min
19.304481942697016,3 min
19.156218313825896,3 min
19.25345673625603,3 min
19.25345673625603,3 min
19.25345673625603,3 min
19.25345673625603,3 min
19.243117036545506,3 min
19.243117036545506,3 min
19.26323064929226,3 min
19.26323064929226,3 min
19.26323064929226,3 min
19.26323064929226,3 min
19.26323064929226,3 min
18.99761498524425,3 min
18.99761498524425,3 min
18.89646346329048,3 min
18.89646346329048,3 min
18.89646346329048,3 min
18.89646346329048,3 min
18.89646346329048,3 min
18.910591085541594,3 min
18.421910227877184,3 min
18.421910227877184,3 min
18.421910227877184,3 min
18.665779997897676,3 min
18.665779997897676,3 min
18.665779997897676,3 min
18.665779997897676,3 min
18.637524753395454,3 min
18.637524753395454,3 min
18.637524753395454,3 min
18.637524753395454,3 min
18.83876130269652,3 min
18.83876130269652,3 min
18.215253474754764,3 min
18.215253474754764,3 min
18.53164399127767,3 min
18.15294725097983,3 min
18.15294725097983,3 min
18.15294725097983,3 min
18.40646575705351,3 min
18.396000880359942,3 min
18.396000880359942,3 min
18.396000880359942,3 min
18.396000880359942,3 min
18.488194629917864,3 min
18.488194629917864,3 min
18.488194629917864,3 min
17.841476230346096,3 min
17.841476230346096,3 min
17.68816792860276,3 min
17.68816792860276,3 min
17.68816792860276,3 min
17.68816792860276,3 min
17.68816792860276,3 min
17.68816792860276,3 min
17.68816792860276,3 min
17.68816792860276,3 min
17.355809581277114,3 min
17.355809581277114,3 min
16.945069673936462,3 min
17.168009690569825,3 min
17.168009690569825,3 min
17.168009690569825,3 min
17.168009690569825,3 min
17.18824848029962,3 min
16.97723801796232,3 min
16.97723801796232,3 min
16.97723801796232,3 min
17.11572773379721,3 min
17.11572773379721,3 min
17.07296933609474,3 min
17.36489253065601,3 min
17.36489253065601,3 min
17.36489253065601,3 min
17.36489253065601,3 min
16.86264983741478,3 min
